method;route;file;line;declaration
"GET";"/mappings";"server/routes/accounting.js";"17";"router.get('/mappings', MANAGER, (req, res) => {"
"PUT";"/mappings";"server/routes/accounting.js";"31";"router.put('/mappings', MANAGER, validate(mappingSchema), (req, res) => {"
"GET";"/export";"server/routes/accounting.js";"47";"router.get('/export', MANAGER, validateQuery(z.object({"
"GET";"/users";"server/routes/admin.js";"21";"router.get('/users', ADMIN, (req, res) => {"
"POST";"/users";"server/routes/admin.js";"50";"router.post('/users', ADMIN, validate(userCreateSchema), (req, res) => {"
"PUT";"/users/:id";"server/routes/admin.js";"63";"router.put('/users/:id', ADMIN, (req, res) => {"
"POST";"/users/:id/unlock";"server/routes/admin.js";"101";"router.post('/users/:id/unlock', ADMIN, (req, res) => {"
"DELETE";"/users/:id";"server/routes/admin.js";"108";"router.delete('/users/:id', ADMIN, (req, res) => {"
"POST";"/users/:id/anonymize";"server/routes/admin.js";"125";"router.post('/users/:id/anonymize', ADMIN, (req, res) => {"
"GET";"/users/:id/data-export";"server/routes/admin.js";"130";"router.get('/users/:id/data-export', ADMIN, (req, res) => {"
"POST";"/data-retention/run";"server/routes/admin.js";"135";"router.post('/data-retention/run', ADMIN, (req, res) => {"
"GET";"/warehouses";"server/routes/admin.js";"143";"router.get('/warehouses', (req, res) => {"
"POST";"/warehouses";"server/routes/admin.js";"147";"router.post('/warehouses', MANAGER, validate(z.object({"
"PUT";"/warehouses/:id";"server/routes/admin.js";"162";"router.put('/warehouses/:id', MANAGER, (req, res) => {"
"GET";"/settings";"server/routes/admin.js";"179";"router.get('/settings', (req, res) => {"
"PUT";"/settings";"server/routes/admin.js";"199";"router.put('/settings', MANAGER, (req, res) => {"
"GET";"/exchange-rates";"server/routes/admin.js";"216";"router.get('/exchange-rates', (req, res) => {"
"GET";"/exchange-rates/current";"server/routes/admin.js";"225";"router.get('/exchange-rates/current', (req, res) => {"
"POST";"/exchange-rates";"server/routes/admin.js";"234";"router.post('/exchange-rates', MANAGER, validate(z.object({"
"GET";"/approval-rules";"server/routes/admin.js";"256";"router.get('/approval-rules', (req, res) => {"
"POST";"/approval-rules";"server/routes/admin.js";"260";"router.post('/approval-rules', ADMIN, validate(z.object({"
"DELETE";"/approval-rules/:id";"server/routes/admin.js";"272";"router.delete('/approval-rules/:id', ADMIN, (req, res) => {"
"GET";"/notification-rules";"server/routes/admin.js";"280";"router.get('/notification-rules', (req, res) => {"
"POST";"/notification-rules";"server/routes/admin.js";"284";"router.post('/notification-rules', MANAGER, validate(z.object({"
"DELETE";"/notification-rules/:id";"server/routes/admin.js";"297";"router.delete('/notification-rules/:id', MANAGER, (req, res) => {"
"GET";"/audit";"server/routes/admin.js";"304";"router.get('/audit', (req, res) => {"
"POST";"/login";"server/routes/auth.js";"19";"router.post('/login', validate(loginSchema), (req, res) => {"
"POST";"/logout";"server/routes/auth.js";"59";"router.post('/logout', requireAuth, (req, res) => {"
"GET";"/me";"server/routes/auth.js";"65";"router.get('/me', requireAuth, (req, res) => {"
"POST";"/change-password";"server/routes/auth.js";"83";"router.post('/change-password', requireAuth, validate(changePwSchema), (req, res) => {"
"GET";"/sessions";"server/routes/auth.js";"97";"router.get('/sessions', requireAuth, (req, res) => {"
"GET";"/opportunities";"server/routes/crm.js";"45";"router.get('/opportunities', (req, res) => {"
"GET";"/opportunities/pipeline";"server/routes/crm.js";"59";"router.get('/opportunities/pipeline', (req, res) => {"
"GET";"/opportunities/:id";"server/routes/crm.js";"71";"router.get('/opportunities/:id', (req, res) => {"
"POST";"/opportunities";"server/routes/crm.js";"96";"router.post('/opportunities', WRITE, validate(oppSchema), (req, res) => {"
"PUT";"/opportunities/:id";"server/routes/crm.js";"124";"router.put('/opportunities/:id', WRITE, validate(oppUpdateSchema), (req, res) => {"
"POST";"/opportunities/:id/stage";"server/routes/crm.js";"148";"router.post('/opportunities/:id/stage', WRITE, validate(stageSchema), (req, res) => {"
"POST";"/opportunities/:id/convert";"server/routes/crm.js";"171";"router.post('/opportunities/:id/convert', WRITE, validate(convertSchema), (req, res) => {"
"GET";"/report";"server/routes/data-health.js";"17";"router.get('/report', (req, res) => {"
"GET";"/check/:id";"server/routes/data-health.js";"21";"router.get('/check/:id', (req, res) => {"
