file;lines;bytes;source;nocheck;rawHtml;sqlCalls;scan;sha256
".dockerignore";"5";"34";"false";"false";"0";"0";"full text structural scan";"1262af5e663ddedf173de04b09443963294f1b629560cd6dcf0cc297b20c3064"
".env.example";"56";"2031";"false";"false";"0";"0";"full text structural scan";"bce62ad2b715f0494b502e9d5f3821d9197a284ce888c1f7e30a156b54e2163b"
".github/dependabot.yml";"21";"757";"false";"false";"0";"0";"full text structural scan";"5170b7bfc578e18d835370964594cdbfe05dafa58b276f3a2ec975a1ff1f9ae6"
".github/workflows/ci.yml";"73";"2298";"false";"false";"0";"0";"full text structural scan";"e13fcfb79047866c64818e63cca0f83e5950d20981deb2caf74692d79f64175b"
".gitignore";"21";"432";"false";"false";"0";"0";"full text structural scan";"876636f16dc928445ae5aa6f4e790a42d95359c4d0f924a3dc558dbdd48c34c7"
".npmrc";"12";"799";"false";"false";"0";"0";"full text structural scan";"4b8477f549df00dbf7ea19c3e588bd94e544c30e936df43e84579ed3c548a745"
"Dockerfile";"47";"1802";"false";"false";"0";"0";"full text structural scan";"06e95bd795ddeb2c150e32263d9db3aa9fca4fb609710ae73b857755f1592b5f"
"LICENSE";"36";"1703";"false";"false";"0";"0";"full text structural scan";"bb4d984c26f304bc72c72b84b1465712ad10c23175bade315ac79e0206d6fbbd"
"PROJECT_STATUS.md";"2785";"173560";"false";"true";"2";"0";"full text structural scan";"d20c4e90aebe9bab2072532469cc929271e76526a97b7106432298452d89a7ad"
"README.md";"292";"15966";"false";"false";"0";"0";"full text structural scan";"b94619e7e54be2ea56e48e91cfae0e1c881149d935f9e4df3e82d334036e28ba"
"docker-compose.yml";"36";"852";"false";"false";"0";"0";"full text structural scan";"c28a878afde598c739e18cc633a290933e86695be589b9a1472b7a4099267401"
"docs/KULLANIM-KILAVUZU.md";"548";"23429";"false";"false";"0";"0";"full text structural scan";"30825c52bcc2975966e17ce5e1e9053cdf2d07a37ca191831e8e4c12123eeada"
"docs/KURULUM.md";"281";"9680";"false";"false";"0";"0";"full text structural scan";"d49ebf81ae7b51244b532c6f55269728db20bc7c5d869ad9829c053e02bc5585"
"docs/KVKK-DEGERLENDIRME.md";"170";"10661";"false";"false";"0";"0";"full text structural scan";"ac1873def50b4995aca3a4734cd0fb38859e2a03f4079bf08536a3b576390700"
"docs/SAHA-KURULUM-COK-BASIT.md";"229";"9663";"false";"false";"0";"0";"full text structural scan";"257fcfa80eb50bedca2bdc417b483af9b5cd72b83baa99c8ddf4822e7fd033e5"
"docs/SAHA-KURULUM-KARTI.md";"176";"6392";"false";"false";"0";"0";"full text structural scan";"29e19f58a212def2ed52724fc92279299a8418ca07647093cf1e9e45852c0fdc"
"docs/YOL-HARITASI.md";"456";"25394";"false";"false";"0";"0";"full text structural scan";"9d938b935e569aed034948f33e44182c97395839795687382bd17b6a272b53bf"
"eslint.config.js";"99";"4130";"true";"false";"0";"0";"full text structural scan";"f13a4a3c7a0adc42fec1997f3b64f2d111987f5ccb1a9702da0fa7b1ef0e8169"
"frontend-react/AdminView.jsx";"1403";"83193";"true";"true";"1";"0";"full text structural scan";"9d0cac6847cb702ce1563454e65b3936bbb45993fabf71cca02c6e8219a0a768"
"frontend-react/CountsView.jsx";"189";"9315";"true";"true";"2";"0";"full text structural scan";"f8b0217fb13e04471407ca27ef91ffb885af2bc1058ed4dfae67054c7f179145"
"frontend-react/CrmView.jsx";"362";"20151";"true";"true";"2";"0";"full text structural scan";"37995084add8c82f77e829be25db726dff16104d544f071e68841fa77d1d1580"
"frontend-react/DashboardView.jsx";"146";"6813";"true";"true";"2";"0";"full text structural scan";"3bf16c4b43d3862efaaac7b73ac7c6e26ebe354e0407fe0e9e3e2e60d893465d"
"frontend-react/ItemsView.jsx";"468";"28565";"true";"true";"3";"0";"full text structural scan";"3c39f40144d4ead4cb89b438b900e279c3dbc116be8fdf8865628d5869f43283"
"frontend-react/LotsView.jsx";"276";"16256";"true";"true";"2";"0";"full text structural scan";"22a3e30d98181ff5a4f33f52bab080d54bbfc6eb3973bbc685c5c1bc2004284e"
"frontend-react/PlanningView.jsx";"641";"37732";"true";"true";"2";"0";"full text structural scan";"8167e7952c3c7029406a33a1762d84b4bb84e95fde341915727e4993f5ef9028"
"frontend-react/ProductionView.jsx";"254";"13627";"true";"true";"2";"0";"full text structural scan";"1d4b8b7b23df6739b580fb24f757d1e541ec879dfc76b3cd60a7b5db010bffad"
"frontend-react/PurchasingView.jsx";"739";"44514";"true";"true";"2";"0";"full text structural scan";"43f443b8a944e9e142ddb8513c202550a1b459801b41b2cfc87f4aa7bf5b4736"
"frontend-react/QualityView.jsx";"748";"40854";"true";"true";"2";"0";"full text structural scan";"f32ecce07752da1dacdb639e077582e5ac4f13e21334eda6eb079dd250504381"
"frontend-react/ReportsView.jsx";"509";"30233";"true";"true";"2";"0";"full text structural scan";"f8e1be5d5a04181767ca212b1f6e04459eab752087a871230bae6caca161a620"
"frontend-react/SalesView.jsx";"714";"42384";"true";"true";"2";"0";"full text structural scan";"cbd2bafaa447b761ddee1319c83b08de8aeabf48569b1e442fbc0b981cb44c53"
"frontend-react/SupportView.jsx";"219";"11702";"true";"true";"2";"0";"full text structural scan";"d8b634fedeec51621685b0fbcb9a76254e7b9663c6677a58cc9a7bfcd89a766b"
"frontend-react/entries/admin.js";"5";"145";"true";"true";"0";"0";"full text structural scan";"43eac2c9b462b02f7885447162b7e2753cf09999adb08ed1aa340398025901f8"
"frontend-react/entries/counts.js";"5";"149";"true";"true";"0";"0";"full text structural scan";"3dd7420d4e0ee9b62c2be8ab565ffe36822d3111dca250583e603af95122aef0"
"frontend-react/entries/crm.js";"5";"137";"true";"true";"0";"0";"full text structural scan";"58a91a567bc216aa8785c4304de7814221c3ebd73e06da98181addf64934ec73"
"frontend-react/entries/dashboard.js";"5";"161";"true";"true";"0";"0";"full text structural scan";"814ac381f8ea7ac73b06653c6a23321990ec9d1d907bb6d1c5b1eed45784ed2d"
"frontend-react/entries/items.js";"5";"145";"true";"true";"0";"0";"full text structural scan";"2d558a356d52f59b01a34277afdb7bf399f769965488811840d6be5c2ca1ee27"
"frontend-react/entries/lots.js";"9";"498";"true";"true";"0";"0";"full text structural scan";"5c743777facc6f4b3bba0725af5c05dfffd21aa3b61c5f1578aadbf1a58a78d9"
"frontend-react/entries/planning.js";"5";"157";"true";"true";"0";"0";"full text structural scan";"2eb4d257e614499782e766af4462bf910c60a585472ad5b6aade8174a6bccfd0"
"frontend-react/entries/production.js";"5";"165";"true";"true";"0";"0";"full text structural scan";"6e016004ce4b7588b19f27911dd4adb6da400f666623c9276a231b92c7f9fb8d"
"frontend-react/entries/purchasing.js";"5";"165";"true";"true";"0";"0";"full text structural scan";"f538f6024a07abe96a64e069863c1401c000168a651e75bd8385623d0bab380f"
"frontend-react/entries/quality.js";"5";"153";"true";"true";"0";"0";"full text structural scan";"2be47a055e3b8232854e58a28b6370cf5733748d32dd0c6508e01788047ce767"
"frontend-react/entries/reports.js";"5";"153";"true";"true";"0";"0";"full text structural scan";"f99069c932bd014bb909b89c13464d4427b1bce452198ca0840af5842ae3d346"
"frontend-react/entries/sales.js";"5";"145";"true";"true";"0";"0";"full text structural scan";"d5c4be9d984677d45b3e1900d64ec4a996c69aac391a8a06fb89c999bc9a142e"
"frontend-react/entries/support.js";"5";"153";"true";"true";"0";"0";"full text structural scan";"3e6d99dad60153ce00b10e2f8aa1d6751b54b56d6858d49e3fe3dd01f73c2a97"
"frontend-react/labelPrint.js";"34";"1916";"true";"true";"0";"0";"full text structural scan";"2d34db8872fada256a80c60362fde6e1d91cf8bf709c026a5479a305a6fc3fcc"
"frontend-react/mountView.jsx";"24";"856";"true";"true";"0";"0";"full text structural scan";"d69270ebbae0146e72373e089d09040fdf818997bdea6bf0a57857e0fcfe4571"
"frontend-react/vendor-react.js";"19";"876";"true";"true";"0";"0";"full text structural scan";"b0812d67b070fc9f233feecec0dac6c4501739c67b0591a29640589392e33e51"
"nginx.conf";"63";"2230";"false";"false";"0";"0";"full text structural scan";"1193205b197d2c39a2cdc1ca1b8c33adadd7eb2523ee3d1f743bdc1a8a7dc28b"
"package-lock.json";"5276";"187671";"false";"false";"0";"0";"full text structural scan";"9849be1ebdc43be36a39c29bb173c903458082b4325a1e7ccf1e03b5c4b461f3"
"package.json";"89";"2971";"false";"false";"0";"0";"full text structural scan";"5b46aa79bb88f1e3c3007acb6d41cb169271633dd71151411426150d2e682b6a"
"playwright.config.js";"43";"1958";"true";"true";"0";"0";"full text structural scan";"2740fc3a2448afef1782fb6e095a0f4c60073b875e1e597e6542260ec4a50f33"
"playwright.cross-browser.config.js";"43";"1544";"true";"true";"0";"0";"full text structural scan";"bb2d4b51b10cd82b92b879d4d4e1a18e9dd65752b4110c8157b0fd2aa827fcab"
"public/api-docs.html";"27";"1468";"false";"false";"0";"0";"full text structural scan";"3929b701abe983893f0272661a6f99bba17082ca8504edba60871a38c058623c"
"public/css/mobile.css";"317";"13857";"false";"false";"0";"0";"full text structural scan";"4071710d39e9366de265e0df8a20b20fd0d99a0ab955ea8b6bff68deb1e7d39d"
"public/css/style.css";"294";"19846";"false";"false";"0";"0";"full text structural scan";"4d2644a37313ee7bdb29c5cf65e05d8273589db7cb55dcc3c37e7bf156d9476d"
"public/icons/apple-touch-icon.png";"";"827";"false";"false";"0";"0";"binary inventory";"2a61b1d29d44d500db611e0dc9190645d3a1f71c43996ac9fdcb608a061e0688"
"public/icons/icon-192.png";"";"828";"false";"false";"0";"0";"binary inventory";"096ad1547d74219a3af15ffdb4aa4f50b7b4f95f4dfe8ca851fac33dd9d56ae4"
"public/icons/icon-512.png";"";"5067";"false";"false";"0";"0";"binary inventory";"560e277490b626c3dffa3c9c431f196df65f4a1ff89ac8a8236be08cebd1ee2c"
"public/index.html";"184";"11519";"false";"false";"0";"0";"full text structural scan";"807d7d58a8cac2a9f2525e666d1d7e8b674ae0cdd971d3f45e9eb37368b96a7c"
"public/js/api-docs.js";"13";"350";"true";"true";"0";"0";"full text structural scan";"d2b6d581a6475adf3f433f668f6357d2bf65240477744d5684c0fefd568e593c"
"public/js/api.js";"318";"17722";"true";"true";"0";"0";"full text structural scan";"fcd27aa7f3edefccd74c287298ff10976949564e5d29f50440124af66be59654"
"public/js/app.js";"339";"14649";"true";"true";"0";"0";"full text structural scan";"c7525c760267b4f5796092d92061f49b0194a8f2dcdf931a4f628bf99deb0fe1"
"public/js/i18n.js";"743";"63319";"true";"true";"0";"0";"full text structural scan";"78971e5fe903550ddc08e3be828339c1c6404f6bd9cd56d5ddd0db24005984f0"
"public/js/mobile-db.js";"62";"2252";"true";"true";"0";"0";"full text structural scan";"dcf2e80375d3e5c7152cf680fce61af1ad729a4ac0215c32cc023d3e1ecd388d"
"public/js/mobile.js";"902";"40049";"true";"true";"0";"0";"full text structural scan";"d6225cd739982c753a1eef697b294202f48ae31854a237eb3f316ab783d3f6f3"
"public/js/ui.js";"502";"27565";"true";"true";"0";"0";"full text structural scan";"a316e2965955798530c4740003bd97b1b009f4e7c2380d7d90c436596287606b"
