path,bytes,lines,sha256,scope,ts_nocheck,route_definitions,transactions,innerHTML,legacy_path_mentions
.claude/launch.json,177,11,aeab88fe94cd72427b913c3a8c2d4dfc954a90d26b3a0613994753b4d0671568,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
.dockerignore,419,24,70222f287e2167b812ce70434fc82417fbadd4116eb337c64bbe4ca14b453245,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
.env,977,,,private: metadata only; contents not read,,,,,
.env.example,2031,56,bce62ad2b715f0494b502e9d5f3821d9197a284ce888c1f7e30a156b54e2163b,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
.github/dependabot.yml,757,21,5170b7bfc578e18d835370964594cdbfe05dafa58b276f3a2ec975a1ff1f9ae6,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
.github/workflows/ci.yml,2298,73,e13fcfb79047866c64818e63cca0f83e5950d20981deb2caf74692d79f64175b,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
.gitignore,432,21,876636f16dc928445ae5aa6f4e790a42d95359c4d0f924a3dc558dbdd48c34c7,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
.npmrc,799,,,private: metadata only; contents not read,,,,,
CLAUDE.md,40253,2663,d2a675e9b4d653abcd7d60ccf133834393efd2959e109a876e8e457af61ed279,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
docker-compose.yml,852,36,c28a878afde598c739e18cc633a290933e86695be589b9a1472b7a4099267401,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
Dockerfile,1839,48,4faf3ca823c3a20931c1b86fb74e06abdb1ae4b4bba2ddb1503a45a5fefee121,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
docs/analiz-2026-09-19/API-ENVANTERI.csv,28409,235,c97aec0c88e6b1036a650391c318575a2909652803b5a89a35203e5aaeeb54bc,full-file inventory/static scan; not a line-by-line correctness proof,0,234,0,0,0
docs/analiz-2026-09-19/BURADAN-BASLAYIN.txt,1226,11,83dc444acfa7986f9c8a33cb649d51c58bf736606b946a8fd658515f9011ea41,full-file inventory/static scan; not a line-by-line correctness proof,0,0,0,0,0
